education_level,discipline,years_total_experience,years_skill_main,current_job_title,skills,certifications,num_promotions,avg_tenure_months,gap_months_last5y,location_city,work_authorization,gender,age_range,languages.English,languages.Spanish,languages.Hindi,languages.Armenian,languages.German,languages.Turkish,languages.Mandarin,apto
Bachelor,Business Administration,10,9,Engineering Technician,"['PC Operating Systems', 'Microsoft Office', 'Outlook', 'Internet', 'MS Excel', 'PowerPoint', 'Oracle', 'network systems', 'documentation', 'inspection', 'logistics', 'safety', 'scheduling', 'shipping', 'supervision']",[],2,36,0,Texas,Authorized,Male,30-40,Native,,,,,,,-1
Other,Engineering,20,20,Engineering Assistant,"['Administrative support', 'Critical thinking', 'Project management', 'Quality assurance', 'Technical review', 'Document control', 'Team management', 'Problem solving', 'Maintenance', 'Electrical systems']",[],2,24,0,Pearl Harbor,US Citizen,Male,40-50,Native,,,,,,,-1
Other,,25,15,Engineering Manager,"['Project management', 'Process improvement', 'Testing', 'Evaluation', 'Analysis', 'Electrical wiring', 'Plumbing', 'HVAC', 'Carpentry', 'Soldering', 'Welding', 'Detail-oriented', 'Safety']",[],2,36,0,City,Yes,Male,46-55,,Native,,,,,,-1
Bachelor,Computer Science,2,2,Engineering Intern,"['AutoCAD', 'BIM', 'C++', 'Python', 'Autodesk Inventor', '3Ds Max']",['BSA Eagle Scout'],0,6,0,Lynchburg,Yes,Male,18-24,Native,,,,,,,-1
Bachelor,Civil Engineering,25,15,Engineering Technician,"['Design/Drafting', 'Surveying', 'Construction Inspection', 'Environmental Sampling', 'Data Processing', 'Software: Microstation, GeoPak, ArcView, Microsoft Access, AutoCad, Eagle Point']",[],2,60,0,City,Yes,Male,40-50,Native,,,,,,,-1
Bachelor,Engineering,17,10,Test Engineer,"['Digital/Analog Circuits Design', 'RF Circuits Troubleshooting', 'Python Scripting', 'UNIX Script & Shell Programming', 'Networking Essentials', 'Test Equipment Operation', 'Lean Six Sigma', 'CAD Design']",['Bronze Six Sigma'],2,72,0,City,Yes,Male,35-44,C1,,,,,,,1
Bachelor,Engineering Technology,15,10,Engineering Technician,"['Operational analysis', 'Root cause analysis', 'Technical plan execution', 'Time management', 'Product improvement', 'Manufacturing process controls', 'SolidWorks', 'Complex system troubleshooting']",[],2,36,0,City,Yes,Male,40-50,Native,,,,,,,-1
Bachelor,Engineering,2,1,Engineering Intern,"['DMAIC', 'FMEA', 'Kaizen', 'Lean Manufacturing', '5S', 'Value Stream Mapping', 'Root Cause Analysis', 'Statistical Process Control', 'Process Capability', 'ANOVA', 'Gage R & R', 'Programmable Logic controls (PLC)', 'Discrete Control system (DCS)', 'Minitab', 'Pro-E', 'Auto-Cad', 'C++', 'C', 'Visual Basics']",[],0,6,0,Navi Mumbai,Yes,Male,25-30,C1,,B2,,,,,-1
Bachelor,Engineering,3,3,Engineering Assistant,"['C', 'R', 'Catia', 'AutoCAD', 'ANSYS', 'Microsoft office', 'Product Project Management', 'GD&T', 'Minitab', 'Kanban', 'Kaizen', 'FMEA', 'Toyota production systems', 'APQP', 'PPAP', '8D', '5 why', ""KPI's"", 'Reliability SAE Standards', 'Vehicle ergonomics', 'DVP&R', 'QCC', 'CNC engineering']",[],1,36,0,City,Yes,Male,25-34,C1,,,,,,,-1
Bachelor,Electronic Technology,31,24,Thermal Technician,"['Critical Thinking', 'Effective Multitasking', 'Deadline Compliance', 'Problem Solving', 'Troubleshooting', 'Schematics Reading', 'Microsoft Office Suite', 'Production Scheduling']",[],1,36,0,City,Yes,Male,41-50,Native,,,,,,,-1
Bachelor,Mechanical Engineering,23,10,Engineering Manager,"['Microsoft Office', 'Pro/ENGINEER', 'Pro/Mechanical', 'Solid Edge', 'AutoCAD', 'Microsoft Navision', 'Microsoft Project', 'Moldflow']",[],2,48,0,City,US Citizen,Male,35-44,Native,,,,,,,-1
Bachelor,Petroleum Engineering,4,0,Engineering Intern,"['SolidWorks', 'Electrical drafting', 'Project management', 'Safety procedures', 'Technical guidance']",[],1,6,0,City,Yes,Male,25-34,,,,,,,,-1
Bachelor,Engineering,23,5,Engineering Supervisor,"['Accounting', 'Project Management', 'Team Leadership', 'Analytical Reasoning', 'Government Contracting', 'Full-cycle Accounting', 'Quickbooks Pro', 'J.D. Edwards ERP']",['CPA Candidate'],2,60,0,City,US Citizen,Male,45-54,Native,,,,,,,-1
Bachelor,Engineering,1,1,Engineering Intern,"['Know-your-consumer (KYC)', 'Statistical process control', 'Cost reduction and avoidance', 'Systems Engineering', 'Systems Engineering management', 'Software systems engineering', 'Quality control', 'Failure analysis', 'Tools of operations research', 'MS Office', 'Auto CAD']",[],0,1,0,Unknown,Yes,Unknown,20-30,B2,,,,,,,0
Bachelor,Automotive Engineering,3,2,Engineering Intern,"['AutoCAD', 'Ansys', 'Cero', 'CATIA', 'HyperMesh', 'DFMEA', 'MS Office Suite', 'Fortran', 'C', 'MATLAB/Simulink', 'CNC Programming']",[],0,6,0,Dearborn,Yes,Male,25-30,B2,,,,,,,0
Bachelor,Civil Engineering,9,8,Engineering Intern,"['engineering design', 'cost estimation', 'hydrology calculations', 'land surveys', 'highway alignments', 'project management', 'plumbing installation', 'pipefitting']","['PMP', 'NITC Plumbing/Pipe Fitting Journeyman License']",1,36,0,San Diego,Yes,Male,25-34,Native,,,,,,,-1
Master,Electrical Engineering,5,3,Graduate Teaching Assistant,"['MATLAB', 'Simulink', 'Siemens PSS@E', 'Power World', 'ETAP', 'LabVIEW', 'Multisim', 'RT-LAB', 'C++', 'MS office', 'PLC programming', 'HMI', 'SCADA', 'Servo drives', 'VFD', 'Hydraulic control', 'Pneumatic control']","['Certificate in Industrial Automation & Control', 'Certificate in SPI Intools']",1,12,0,Houston,US Citizen,Male,25-34,C1,,B2,,,,,1
Master,Engineering,6,6,Engineering Manager,"['Linux', 'Unix', 'RTOSs', 'C', 'C++', 'Visual C++', 'Visual Basic', 'Java', 'Machine Learning', 'Embedded Systems', 'Middleware Development', 'Content Protection Systems', 'Agile Development', 'Cross-functional Team Management']",[],1,36,0,City,Yes,Male,35-44,C1,,,,,,,1
Associate,Administrative Assistance,26,20,Engineering Coordinator,"['Word', 'SAP', 'Time Approval', 'Excel', 'Travel Arranger', 'Access Database', 'Purchase Reqs in SAP', 'OutLook', 'IOs in SAP', 'Pcard purchases', 'Royalty Agreement Tracking']",[],2,36,0,City,United States,,41-50,,,,,,,,0
Bachelor,Engineering,9,8,Engineering Technician,"['Lean principles', 'Microsoft Excel', 'Microsoft Word', 'Engineering operational functions', 'Manufacturing systems integration', 'Assembly drawing', 'Design instruction creation', 'Labview', 'ERP systems', 'Root cause analysis', 'System Testing verification', 'Software configuration testing']",[],1,36,0,City,Yes,Male,30-40,C1,,,,,,,-1
Master,Electrical Engineering,5,3,Engineering Intern,"['Testing', 'Troubleshooting', 'Embedded Hardware & Software', 'Microprocessors', 'Hardware & Software design', 'Digital signal processing', 'Analog and Digital Filter design', 'Reading Circuit Schematics', 'Circuit Design and Analysis', 'Digital logic', 'Soldering', 'Project management', 'Electronics', 'Low and High voltage devices', 'Power Systems Analysis', 'Active Noise Cancelling (ANC)', 'Research and Development', 'Solar PV systems Design', 'National Electric Code (NEC)', 'Engineering Ethics', 'Failure Analysis', 'Logistics', 'Instrumentation', 'Programming']",[],0,12,0,City,US,Male,25-30,Native,,,,,,,1
Associate,Engineering,3,1,Engineering Assistant,"['Problem solving', 'Teamwork', 'Attention to detail', 'Computer proficiency', 'Time management', 'Interpersonal skills', 'Technical writing', 'Quality assurance']",[],0,6,0,Bellevue,Yes,Female,20-25,Native,,,,,,,0
Bachelor,Engineering,20,20,Engineering Manager,"['Test Management', 'Software Testing', 'Agile Methodologies', 'Automation Frameworks', 'Cross-Platform Development', 'Team Leadership', 'Continuous Integration', 'Performance Testing', 'SaaS Testing', 'C/C++', 'C#', 'Java', 'Objective C']",[],3,60,0,City,Yes,Male,40-50,C1,,,,,,,1
Bachelor,Engineering,27,15,Engineering Manager,"['CNC programming', 'Cost estimating', 'Lean manufacturing', 'Problem solving', 'Project management', 'Tool design', 'Manufacturing processes', 'Quality control']",[],3,48,0,City,US Citizen,Male,40-50,Native,,,,,,,-1
Bachelor,Engineering,11,8,Manager Engineering Manufacturing Systems Engineering Manager,"['Project Management', 'Team Leadership', 'Process Improvement', 'Budget Management', 'IT Strategy', 'Collaboration', 'SharePoint Migration', 'CMMI Standards']",[],3,18,0,City,US Citizen,Male,35-44,C1,,,,,,,-1
Bachelor,Engineering,27,20,Engineering Specialist,"['Allen Bradley PLC programming', 'Fanuc Robotics programming', 'ABB Robotics programming', 'Electrical troubleshooting', 'Mechanical troubleshooting', 'Hydraulic systems knowledge', 'Pneumatic systems knowledge', 'Microsoft Office Suite']","['Project Leader Training Honda', 'Paint Emergency Spill and Response Honda', 'Spill Prevention, Control, & Countermeasures Honda', 'Handling of Normal Hazardous Waste Honda', 'Robotic Safety Principles Honda', 'ARC Flash Training Honda', 'Basic Hydraulics/ Pneumatics Honda', 'Catia', 'Auto Cad Level 1']",3,60,0,City,Authorized,Male,40-50,Native,,,,,,,-1
Bachelor,Electrical Engineering,10,10,Engineering Technician,"['fault isolation', 'preventive maintenance', 'corrective maintenance', 'troubleshooting', 'soldering', 'calibration', 'documentation development', 'equipment installation', 'electrical testing', 'production yield analysis']",[],2,24,0,City,Yes,Male,30-40,C1,Native,,,,,,-1
Master,Engineering,5,3,Research Engineer,"['C++', 'Python', 'MATLAB', 'Git', 'Bash', 'R', 'SQL', 'Scikit-learn', 'Pandas', 'Seaborn', 'matplotlib', 'TensorFlow', 'CFD-DEM', 'OpenFOAM', 'CFD-ACE+®', 'Fluent®', 'COMSOL®', 'LAMMPS', 'LIGGGHTS', 'CMG®', 'FracPro®', 'Saphir', 'SEM', 'AFM', 'Confocal Microscopy', 'Regression analysis', 'Statistical process control', 'Design of experiments']",[],1,12,0,Austin,Yes,Male,25-34,C1,,,,,,,1
Bachelor,Sociology Business Management,10,7,Engineering Technologist,"['data analyzing', 'administrative roles', 'customer service', 'account maintenance', 'problem-solving', 'Microsoft Office', 'OpenWells', 'Spotfire', 'SAP', 'Concur', 'QuickBooks', 'Adobe', 'event planning', 'logistics coordinating', 'data entry', 'scheduling', 'dispatching', 'communication']",[],2,24,0,City,Yes,Female,30-40,Native,,,,,,,-1
Bachelor,Engineering,20,20,Engineering Manager,"['Lean Manufacturing', 'Continuous Improvement', 'Six Sigma', 'Microsoft Office', 'Visio', 'Inventor', 'SPC', 'FMEA', 'Minitab', 'Process improvement']","['Applied Industrial Ergonomics', 'Lean Certification (Parker Lean Boot Camp I, II, and III)', 'EPA Certification', 'AWS Brazing Certification', 'Six Sigma Academy Greenbelt Training', 'Purdue University Poke-a-Yoke Certification']",3,48,0,City,Yes,Male,40-50,,,,,,,,-1
Bachelor,Engineering,8,8,Engineering Associate,"['Electro-mechanical design', 'JMP', 'Microsoft Visual Basic', 'Microsoft Excel', 'Vision system programming', 'Microsoft PowerPoint', 'Electronic computer systems', 'Microsoft Visio', 'Engineering software', 'Six Sigma', 'Statistical Analysis', 'AutoCad', 'Electrical Troubleshooting', 'Mechanical design/implementation']",[],2,60,0,City,Yes,Male,30-40,Native,,,,,,,-1
Bachelor,Mechanical Engineering,30,30,Engineering Manager,"['Project management', 'Paper converting equipment', 'Facility and plant modifications', 'DMF and Project Work Process', 'Written and verbal communication', 'AutoCAD', 'Excel']",[],3,36,0,City,Yes,Male,51-60,Native,,,,,,,-1
Bachelor,Engineering Technology,10,6,Engineering Technician,"['CAD', 'GIS', 'AutoCAD', 'ArcGIS', 'C#', 'Java', '3D Studio Max', 'Remote Sensing', 'Microsoft Office', 'Basic Surveying Principles']",[],1,36,0,Unknown,Yes,Male,30-40,,,,Native,,,,-1
Master,Electrical Engineering,6,5,Engineering Officer,"['Preventive maintenance', 'Calibration of equipment', 'Control systems', 'Automation', 'Distributed Control Systems', 'Programmable Logic Controllers', 'Production optimization']",[],1,12,0,City,USA,Male,30-35,C1,,B2,,,,,-1
Bachelor,Electrical Engineering,15,12,Engineering Tech,"['SEM', 'EDX', 'X-Ray Analysis', 'Gas Chromatography', 'High Purity Liquid Chromatography', 'Stress/Strain collection', 'C++', 'SQL', 'Verilog', 'VHDL', 'MatLab', 'PSpice', 'LTSpice', 'PowerWorld', 'LabView', 'Windows 2000/XP', 'Web Design', 'MS Office', 'HTML programming']","['First Aid Certified', 'Blood Borne Pathogen Certified', 'Automated Electric Defibrillator Certified', 'CPR certified']",2,60,0,City,Yes,Male,30-40,Native,,,,,,,1
Bachelor,Electrical Engineering,20,20,Engineering Manager,"['Project Management', 'Equipment Engineering', 'Process Sustaining', 'Budget Development', 'Staff Training/Development', 'Cross-Functional Team Leadership', 'Quality System Management', 'Root-Cause Problem Solving', 'Lean Manufacturing']",[],3,288,0,City,Yes,Male,45-54,Native,,,,,,,-1
High School,Electrical Engineering,9,4,Engineering Supervisor,"['Project management', 'Drilling engineering', 'Building commissioning', 'Quality troubleshooting', 'Electrical systems', 'Plumbing', 'Mechanical equipment repair', 'Customer service', 'Interpersonal communication', 'Organizational skills']",[],2,60,0,City,USA,,30-40,,,,,,,,-1
Bachelor,Civil Engineering,2,2,Engineering Intern,"['Bluebeam', 'Mathcad', 'Microsoft Word', 'Excel', 'Project', 'Powerpoint', 'Autocad Civil 3D']",[],0,3,0,City,Yes,,20-30,,,,,,,,0
Associate,Drafting and Design,4,2,Engineering Technician,"['3D modeling', 'architectural drafting', 'AutoCAD', 'read blueprints', 'carpentry', 'drafting', 'floor plans', '3dsMax', 'mechanical', 'Microsoft Office applications', 'problem solving', 'renovation', 'Revit']",[],0,12,0,City,Yes,Male,25-34,C1,,,,,,,0
Bachelor,Civil Engineering,6,1,Medical Receptionist,"['MicroStation', 'AutoCAD', 'GuideSign', 'Google Earth', 'MS Excel', 'MS PowerPoint', 'MS Word']",[],0,12,0,Fairfax,US Citizen,Female,25-34,Native,,,,,,,-1
Bachelor,Engineering,5,2,Engineering Technician,"['Installation', 'Customer service', 'Cash handling', 'Excellent communication skills', 'Power and hand tools', 'Repair Work', 'Planning', 'Groundskeeping and Landscaping', 'Handheld Computers', 'Pressure Washing', 'Safety Monitoring and Compliance', 'Mechanical Repair', 'Critical Thinking', 'Facilities Painting and Repair', 'Heavy Object Lifting', 'Troubleshooting and Diagnostics']",[],1,24,0,City,Yes,Male,25-34,C1,,,,,,,-1
Bachelor,Mechanical Engineering,6,6,Engineering Manager,"['Microsoft Office', 'Microsoft Project', 'Product development', 'Quality Research', 'Six Sigma Green Belt', 'Solid Works', 'Visio', 'Prioritization', 'Personnel management', 'Critical thinking skills', 'Team management', 'Cost analysis', 'Designing', 'Validation']","['Management Leadership Certification', 'Six Sigma Greenbelt certification']",2,18,0,City,Yes,Male,30-40,C1,,,,,,,-1
Bachelor,Engineering,1,1,Engineering Intern,"['C', 'Python', 'R', 'STK', 'CATIA', 'ANSYS', 'LaTeX', 'SolidWorks', 'Microsoft Office', 'Microsoft Project']","['Scrum Fundamentals Certified', 'Data Science Fundamentals Certified', 'Oracle SQL Developer', 'Advanced SQL: SQL Expert']",0,6,0,Sydney,Permanent Residency,Male,20-25,Native,,,,,,,-1
Bachelor,Electronics and Instrumentation Engineering,9,9,Engineering Manager,"['Autocad', 'SAP', 'Python', 'Labview', 'ASME', 'OSHA', 'PCB Design', 'Project Management']",['EIT License in process'],2,24,0,City,Yes,Male,30-40,B2,Native,,,,,,1
Bachelor,Electrical Engineering,15,12,Engineering Supervisor,"['PLC', 'Java', 'C', 'Visual Basic', 'VHDL', 'PSpice', 'Assembly', 'Labview', 'AutoCAD', 'Inventor', 'Matlab', 'Microsoft Office', 'PSIM', 'Easy Power', 'Xilinx ISE', 'Protel', 'Siemens Step 7', 'Wago CoDeSys', 'Allen Bradley RSLogix', 'ERP']",[],2,36,0,City,Yes,Male,30-40,C1,,,,,,,-1
Bachelor,Mechanical Engineering,8,8,Engineering Supervisor,"['CAD', 'FEA software', 'ISO document control', 'ASTM requirements', 'API requirements', 'Plastics Manufacturing Processes', 'Process Engineering', 'QA Management', 'AutoCAD', 'Bluehill testing software', 'Solidworks', 'Algore FEA', 'Matlab', 'Microsoft Office', 'Material testing', 'Chemical evaluations', 'Design and drafting', 'ProE', 'Ansys', 'LabView']","['ISO 9001', 'AS9100']",2,36,0,City,Yes,Male,30-40,Native,,,,,,,-1
Bachelor,Engineering,20,10,Engineering Manager,"['Process Design & Improvement', 'New Product Development', 'Strategic Planning & Development', 'Lean & Six Sigma', 'Product Design', 'Budgetary and Policy Development', 'Automation Design', 'Quality Control', 'Project Management', 'Economic Analysis', 'Ergonomic and Safety Conscious']",[],3,18,0,Boyden,US Citizen,Male,35-44,Native,,,,,,,-1
Bachelor,Engineering,10,10,Site Engineer,"['Manufacturing Quality', 'Controls and Instrumentation', 'Equipment Maintenance', 'Mechanical Inspection Tools', 'Problem Solving', 'Microsoft Office', 'Inventory Control', 'Data Entry', 'Assembler']",[],2,120,0,City,Yes,Male,30-40,C1,,,,,,,-1
Bachelor,Engineering,24,24,Engineering Specialist,"['Project Management', 'Risk Management', 'Performance Tracking', 'Team Building', 'Project Analysis', 'Leadership Mentoring', 'Business Analysis', 'Operations Management', 'Process Development', 'Technical Writing']",['Project Management Professional (PMP)'],2,36,0,City,US Citizen,Male,45-54,Native,,,,,,,-1
Other,Telecommunications,25,15,Retired Engineering Assistant,"['TIRKS', 'Switch', 'LFACs', 'Microstation', 'ICGS / IDDS', 'Word', 'Excel', 'RequestNet', 'AARDWOLF', 'ADTRAN', 'Microsoft Outlook', 'CCP', 'WSAM Image', 'Lotus Sametime', 'Fiber Brains', 'Ringbuilder', 'Plat Indexes', 'VENUe', 'WSAM-DC Fiber', 'Traffic Control', 'State Highway database', 'ASSIST', 'Workforce Management systems']",[],2,60,0,City,US Citizen,Male,55-64,Native,,,,,,,0
High School,Engineering,20,3,Facilities Tech,"['Preventative maintenance', 'Troubleshooting', 'Machine repair', 'Concrete finishing', 'Brake systems expertise', 'Diagnosis and repair', 'Inventory control', 'Equipment maintenance']",[],1,36,0,City,Yes,Male,35-44,C1,,,,,,,0
Bachelor,Engineering,12,12,Director of Engineering,"['manufacturing', 'operations', 'engineering', 'project management', 'ERP systems', 'configuration management', 'data analytics', 'business intelligence', 'lean manufacturing', 'data-driven KPIs', 'AutoCAD', 'Siemens PLM', 'SolidWorks PDM', 'Tableau', 'PowerBI', 'Cognos', 'MS Access', 'Microsoft Project', 'Visio', 'SharePoint Designer', 'JIRA', 'Confluence', 'MS Dynamics AX', 'Epicor']","['OMNEX High Performance Leadership Toolkit', 'Crucial Conversations', 'Microsoft Project Management Essentials', 'Microsoft SharePoint Essentials']",3,48,0,Las Vegas,US Citizen,Male,35-44,Native,,,,,,,-1
Bachelor,Computer Science Information Systems,15,15,Software Engineering Manager,"['C#', 'ASP.NET', 'MVC', 'SQL', 'JavaScript', 'Java', 'Web Services', 'Agile', 'Scrum', 'ETL', 'PHP', 'Visual Studio', 'SSRS', 'SSIS', 'IIS', 'SharePoint', 'Eclipse', 'Apache', 'Cognos', 'SQL Server', 'Oracle']",[],3,36,0,City,Yes,Male,35-44,Native,,,,,,,1
Bachelor,Electronics Engineering,23,23,Self-Sustaining Engineering Technician,"['communication', 'inspecting', 'Team Lead', 'modems', 'processes', 'Scheduling', 'Technician', 'Trainer', 'Troubleshooting']",[],3,12,0,City,US Citizen,Male,40-50,,,,,,,,-1
Bachelor,Software Engineering,20,10,Software Engineering Manager,"['Visual C++', 'Windows', 'STL', 'OOP', 'MFC', 'threads', 'file maps', 'ATL', 'IPC', 'FTP', 'TCP', 'HTTP', 'XML', 'JSON', 'REST API', 'SOA', 'media formats', 'codec SDK', 'MPEG-DASH', 'Scrum', 'Mercurial', 'Jenkins']",[],2,60,0,City,US Citizen,Male,40-50,C1,,,,,,,-1
Bachelor,Software Engineering,20,10,Software Engineering Manager,"['Visual C++', 'Windows', 'STL', 'OOP', 'MFC', 'threads', 'file maps', 'ATL', 'IPC', 'FTP', 'TCP', 'HTTP', 'XML', 'JSON', 'REST API', 'SOA', 'media formats', 'codec SDK', 'MPEG-DASH', 'API design', 'Scrum', 'Mercurial', 'Jenkins']",[],3,60,0,Los Angeles,US Citizen,Male,40-50,C1,,,,,,,-1
Bachelor,Software Engineering,18,14,Software Engineering Manager,"['Visual C++', 'Windows', 'STL', 'OOP', 'MFC', 'threads', 'file maps', 'ATL', 'IPC', 'FTP', 'TCP', 'HTTP', 'XML', 'JSON', 'REST API', 'SOA', 'media formats', 'codec SDK', 'MPEG-DASH', 'Scrum', 'Mercurial', 'Jenkins', 'C#', 'JavaScript']",[],2,48,0,City,Yes,Male,35-44,C1,,,,,,,1
Bachelor,Software Engineering,20,10,Software Engineering Manager,"['Visual C++', 'Windows', 'STL', 'OOP', 'MFC', 'threads', 'file maps', 'memory management', 'COM', 'ATL', 'IPC', 'FTP', 'TCP', 'HTTP', 'XML', 'JSON', 'REST API', 'SOA', 'media formats', 'codec SDK', 'MPEG-DASH', 'API design', 'Scrum']",['Certified ScrumMaster'],3,60,0,Los Angeles,US Citizen,Male,40-50,C1,,,,,,,1
Bachelor,Electrical Engineering,28,10,Electrical Engineering Lab Technician,"['high speed networking', 'lab network administration', 'problem resolution', 'documentation', 'lab management', 'testing', 'data collection', 'diagnosing', 'troubleshooting', '1G/10G Ethernet', 'Framers', 'Routers', 'Switches', 'ATM', 'PON', 'PHY', 'SONET', 'Digital Home', 'Windows OS', 'Linux OS', 'MS Office', 'LabView', 'multimeters', 'programmable DC power supplies', 'frequency counters', 'oscilloscopes', 'function generators', 'signal generators', 'logic analyzers', 'digital serial analyzers', 'network traffic generators', 'PADS', 'Cadence', 'ORCAD', 'Mentor Graphic', 'View Logic']",[],2,60,0,City,Yes,Male,40-50,Native,,,,,,,-1
